"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,193382028,2023
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,344932867,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,31501291,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,515389,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,9517548,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,14449385,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,1060539,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,3007052,2023
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,942603,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,7833661180,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,2069717,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,89557167,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,278315013,2023
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,38151,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,109135,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,3666624,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1083242,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,319402,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,81348774,2023
"Cereals",210,"Wheat",21001,"Vegetable Products",2,923773378,2023
"Cereals",210,"Rye",21002,"Vegetable Products",2,10917,2023
"Cereals",210,"Barley",21003,"Vegetable Products",2,1862639,2023
"Cereals",210,"Oats",21004,"Vegetable Products",2,3727955,2023
"Cereals",210,"Corn",21005,"Vegetable Products",2,13867461297,2023
"Cereals",210,"Rice",21006,"Vegetable Products",2,646885016,2023
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,17052059,2023
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,4876043,2023
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,8334055.000000001,2023
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,15551533,2023
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,4561351,2023
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,8611083,2023
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,677087,2023
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,11946362,2023
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,33850,2023
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,65333071,2023
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,38671,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,53622106436,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,445552881,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,8834,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,7837214,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,58827,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,237720384,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,17973666,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,88050893,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,62268,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,13305161,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,3120857,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,1180110,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,102973,2023
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,29528069.000000004,2023
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,126165274,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,30444,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,18430493,2023
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,16586514,2023
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,319146771,2023
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,5445,2023
"Animal or vegetable fats, oils, & waxes",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,11471485,2023
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,3627456,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,22478877,2023
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,2529294458,2023
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,183101069,2023
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,832525,2023
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,4333,2023
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,21296085,2023
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,16097905.999999998,2023
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,2863956,2023
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,2680955,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,151144283,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,20454626,2023
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,72787375,2023
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,52328002,2023
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,97442576,2023
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,91108471,2023
"Animal or vegetable fats, oils, & waxes",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,3858447.0000000005,2023
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,182685125,2023
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,1098494279,2023
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,12974808,2023
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,30994135,2023
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,602457,2023
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,17925036958,2023
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,25562504,2023
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,1802276,2023
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,207382766,2023
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,2391746,2023
"Cocoa & cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,114650,2023
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,26375048,2023
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,94517775,2023
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,84082997,2023
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,173997628,2023
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,231281290,2023
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,28703854,2023
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,6556845,2023
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,24302879,2023
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,193452189,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,2564559,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Tomatoes",42002,"Foodstuffs",4,3186900,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,327529,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,17824533,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,39432154,2023
