"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,869970,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,1077517,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,539739,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,1216711,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,8959895,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,35074,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,1193818,2023
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,9699,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,20131300,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,47030355,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,8977,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,3232443,2023
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,13288,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,274451,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,195193,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,42463,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,63297841,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,2889057,2023
"Cereals",210,"Wheat",21001,"Vegetable Products",2,10997063914,2023
"Cereals",210,"Rye",21002,"Vegetable Products",2,29372726,2023
"Cereals",210,"Barley",21003,"Vegetable Products",2,1018428396,2023
"Cereals",210,"Oats",21004,"Vegetable Products",2,35699181,2023
"Cereals",210,"Corn",21005,"Vegetable Products",2,910523172,2023
"Cereals",210,"Rice",21006,"Vegetable Products",2,23087743,2023
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,5936057,2023
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,130103312,2023
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,155043663,2023
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,6742069,2023
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,12516944,2023
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,122912968,2023
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,9470012,2023
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,267149,2023
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,156773564,2023
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,13390820,2023
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,61160560,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,738781816.9999999,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,982154,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,5657.999999999999,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,645509583,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,229427251,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,123745027,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,103258115,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,270354,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,14064863,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,503746,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,17221887,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,3304928,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,32010775,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,12426549.999999998,2023
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,1364482,2023
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,5856903,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,738114.9999999999,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,21759869,2023
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,40635,2023
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,1503311,2023
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,629,2023
"Animal or vegetable fats, oils, & waxes",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,21351647,2023
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,29953,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,29650,2023
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,477361595,2023
