"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,288648,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,88249349,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,51143359,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,3055485,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,28512914,2023
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,362778,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,824638957,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,708128881,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,98778,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,1425757586,2023
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,4477460,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,12344720,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,15765703,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,132144515,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,809484466,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,515746998,2023
"Cereals",210,"Wheat",21001,"Vegetable Products",2,50532248,2023
"Cereals",210,"Rye",21002,"Vegetable Products",2,75963,2023
"Cereals",210,"Barley",21003,"Vegetable Products",2,2921558,2023
"Cereals",210,"Oats",21004,"Vegetable Products",2,266993,2023
"Cereals",210,"Corn",21005,"Vegetable Products",2,724737449,2023
"Cereals",210,"Rice",21006,"Vegetable Products",2,10993282905,2023
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,16992437,2023
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,62477856,2023
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,58008968,2023
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,57564206,2023
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,42638811,2023
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,23979064,2023
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,64257032,2023
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,82769413,2023
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,11698704,2023
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,262777272,2023
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,484093,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,19337052,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,836845558,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,22007461,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,23243407,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,256328.00000000003,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,2607202,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,582452184,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,13413925,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,205699372,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,368456,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,463313406,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,16532592,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,4356076,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,414487,2023
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,90240676,2023
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,944852767,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,2203171,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,86468795,2023
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,346,2023
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,270242242,2023
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,22813,2023
"Animal or vegetable fats, oils, & waxes",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,147030549,2023
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,4592427,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,805506,2023
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,23478036,2023
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,223432279,2023
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,696688,2023
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,555120,2023
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,30004374,2023
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,19237638,2023
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,44447203,2023
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,23985072,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,1241681540,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,134019061,2023
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,13641791,2023
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,38009386,2023
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,3244265,2023
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,8295082,2023
"Animal or vegetable fats, oils, & waxes",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,497968.00000000006,2023
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,562305,2023
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,3857820,2023
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,234643.00000000003,2023
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,95480126,2023
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,716762778,2023
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,3811570108,2023
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,170017917,2023
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,269463708,2023
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,229115981,2023
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,641142,2023
"Cocoa & cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,78806,2023
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,254046,2023
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,44338470,2023
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,1267579,2023
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,145279197,2023
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,147390696,2023
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,54189932,2023
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,12842763,2023
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,82866651,2023
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,693426695,2023
